share_code,company,english_name,address,shortname,legal_person,security,registrated_fund,Principal activities,post code,telephone,fax,website,listed time,prospectus time,Circulation,issue time,PE ration,发行方式,主承销商,上市推荐人,保荐机构
000995,甘肃皇台酒业股份有限公司,"Gansu Huangtai Wine-marketing Industry Co., Ltd.",甘肃省武威市新建路55号,皇台酒业,胡振平,谢维宏,"17,740.8000",酒、饮料和精制茶制造业,733000,0935-6139865,0935-6139888,www.huangtaichina.com,2000-08-07,2000-07-13,"4,000",7.8,41.98,上网定价发行,海通证券股份有限公司 ,海通证券股份有限公司 南方证券有限公司 , 
000996,中国中期投资股份有限公司,"China CIFCO Investment Co., Ltd.",北京市朝阳区麦子店西路3号12层1316,中国中期,姜新,姜新(代),"34,500.0000",批发业,100125,010-59539802,010-59539886,www.cifco996.com,2000-07-18,2000-07-03,"3,500",8.28,39.58,上网定价发行,国信证券股份有限公司 ,光大证券有限责任公司 国信证券股份有限公司 , 
000997,福建新大陆电脑股份有限公司,"Fujian Newland Computer Co., Ltd.",福建省福州市马尾区儒江西路1号,新大陆,胡钢,吴春旸,"101,080.9917",软件和信息技术服务业,350015,0591-83979997,0591-83979997,www.newlandcomputer.com,2000-08-07,2000-07-20,"3,100",15.88,48.27,上网定价发行,东方证券有限责任公司 ,联合证券有限责任公司 山东证券有限责任公司 ,华泰联合证券有限责任公司 
000998,袁隆平农业高科技股份有限公司,"Yuan Longping High-tech Agriculture Co., Ltd.",湖南省长沙市芙蓉区远大二路马坡岭农业高科技园内,隆平高科,廖翠猛,尹贤文,"125,619.4674",农业,410001,0731-82183881,0731-82183881,www.lpht.com.cn,2000-12-11,2000-05-31,"5,500",12.98,39.94,"上网定价发行,网下配售",湘财证券有限责任公司 ,国信证券股份有限公司 湘财证券有限责任公司 , 
000999,华润三九医药股份有限公司,"China Resources Sanjiu Medical and Pharmaceutical Co., Ltd.",广东省深圳市龙华区观湖街道观澜高新园区观清路1号,华润三九,宋清,周辉,"97,890.0000",医药制造业,518110,0755-83360999-3579,0755-83360999-396006,www.999.com.cn,2000-03-09,1999-11-11,"20,000",8.45,19.92,"上网定价发行,网下询价发行",中国信达信托投资公司 ,中国信达信托投资公司 北京证券有限责任公司 , 
001696,重庆宗申动力机械股份有限公司,"Chongqing Zongshen Power Machinery Co., Ltd.",重庆市巴南区炒油场,宗申动力,左宗申,李建平,"114,502.6920",铁路、船舶、航空航天和其他运输设备制造业,400054,023-66372632,023-66372648,www.zsengine.com,1997-03-06,1989-04-01,25,100, ,自办发行,方正证券有限责任公司 ,国泰君安证券股份有限公司 四川省证券股份有限公司 ,方正证券有限责任公司 
001896,河南豫能控股股份有限公司,"Henan Yuneng Holdings Co., Ltd.",河南省郑州市金水区农业路东41号B座8-12层,豫能控股,郑晓彬,张勇(代),"115,058.7847",电力、热力生产和供应业,450008,0371-69515111,0371-69515114,www.yuneng.com.cn,1998-01-22,1997-11-10,"8,000",3.36,14.8,上网定价发行,国泰君安证券股份有限公司 ,国泰证券有限公司 国泰君安证券股份有限公司 , 
001965,招商局公路网络科技控股股份有限公司,"China Merchants Expressway Network and Technology Holdings Co., Ltd.",北京市朝阳区建国路118号招商局大厦五层,招商公路,邓仁杰,吴新华,"617,821.1497",道路运输业,100022,010-56529000,010-56529111,www.cmexpressway.com,2017-12-25, ,"55,483",8.18,16.69,换股, , ,中国国际金融股份有限公司 招商证券股份有限公司 
001979,招商局蛇口工业区控股股份有限公司,"China Merchants Shekou Industrial Zone Holdings Co,. Ltd.",广东省深圳南山区蛇口兴华路6号南海意库3号楼,招商蛇口,孙承铭,刘宁,"790,409.2722",房地产业,518067,0755-26818928,0755-26691325,www.shekou.com,2015-12-30,2015-12-11,"190,180",23.6,34.82,换股, , , 
200053,深圳赤湾石油基地股份有限公司,"Shenzhen Chiwan Petroleum Supply Base Co., Ltd.",广东省深圳市南山区赤湾基地楼,深基地,田俊彦,于忠侠,"23,060.0000",仓储业,518068,0755-26694211,0755-26694227,www.chiwanbase.com,1995-07-28,1995-06-21,"6,000",2.82,10.5,私募配售,南方证券有限公司 新加坡发展银行有限公司 ,南方证券有限公司 , 
200054,重庆建设汽车系统股份有限公司,"Chongqing Jianshe Vehicle System Co., Ltd.",重庆市巴南区花溪工业园区建设大道1号,建车B,吕红献,薛刚毅,"11,937.5000",铁路、船舶、航空航天和其他运输设备制造业,400054,023-66295333,023-66295333,www.jianshe.com.cn,1995-07-25,1995-06-21,"12,000",4.03,6.75,私募配售,国泰证券有限公司 ,国泰证券有限公司 , 
200152,山东航空股份有限公司,"Shandong Airlines Co., Ltd.",山东省济南市遥墙国际机场,山航Ｂ,孙秀江,董钱堂,"40,000.0000",航空运输业,250014,0531-82085939,0531-85698767-8679,www.shandongair.com.cn,2000-09-12,2000-08-28,"14,000",1.68,8.3,私募配售,南方证券有限公司 ,南方证券有限公司 , 
200160,东沣科技集团股份有限公司,"Dongfeng Sci-Tech Group Co., Ltd.",河北省承德市承德县下板城镇,东沣科技,赵永生,李文英,"70,632.0000",房地产业,67400,0314-3115049,0314-3111475, ,2000-09-29,2000-09-20,"10,000",2.11,7.14,私募配售,南方证券有限公司 ,南方证券有限公司 ,南方证券股份有限公司 
200168,广东舜喆(集团)股份有限公司,Guangdong Jadiete Holdings Group Company Limited,广东省普宁市军埠镇美新工业园,舜喆B,丁立红,徐巍,"31,860.0000",房地产业,518000,0755-82250045,0755-82251182,www.rieys.com,2000-10-27,2000-10-17,"6,000",2.53,6.75,私募配售,国泰君安证券股份有限公司 ,国泰君安证券股份有限公司 , 
200468,南京普天通信股份有限公司,"Nanjing Putian Telecommunications Co., Ltd.",江苏省南京市江宁经济技术开发区秦淮路58号,宁通信,李林臻,励京,"21,500.0000",计算机、通信和其他电子设备制造业,211100,025-52418518,025-52409954,www.postel.com.cn,1997-05-22,1997-04-30,"10,000",2.6,8.87,私募配售,南方证券有限公司 ,南方证券有限公司 , 
200512,厦门灿坤实业股份有限公司,"Tsann Kuen (China) Enterprise Co., Ltd.",福建省厦门市湖里工业区兴隆路88号,闽灿坤,潘志荣,孙美美,"18,539.1680",电气机械和器材制造业,363107,0596-6268103,0596-6268104,www.eupa.cn,1993-06-30,1993-05-01,"4,000",5.28, ,私募配售,渣打(亚洲)有限公司 , , 
200706,瓦房店轴承股份有限公司,Wafangdian Bearing Company Limited,辽宁省瓦房店市北共济街一段1号,瓦轴,孟伟,孙娜娟,"40,260.0000",通用设备制造业,116300,0411-39116732,0411-39116738,www.zwz-bearing.com.cn,1997-03-25,1997-02-27,"13,000",2.85,7.9,私募配售,南方证券有限公司 ,南方证券有限公司 , 
200771,杭州汽轮机股份有限公司,"Hangzhou Steam Turbine Co., Ltd.",浙江省杭州市石桥路357号,杭汽轮,郑斌,王钢,"75,401.0400",通用设备制造业,310022,0571-85780198,0571-85780433,www.htc.cn,1998-04-28,1998-03-31,"8,000",2.29,6.74,私募配售,南方证券有限公司 ,南方证券有限公司 , 
200986,佛山华新包装股份有限公司,"Foshan Huaxin Packaging Co., Ltd.",广东省佛山市禅城区南庄镇禅城经济开发区罗格园科洋路3号之7二楼,粤华包,任小平,刘岩,"50,542.5000",造纸和纸制品业,528000,0756-8666908,0756-8666922,www.fshxp.com,2000-07-06,2000-06-14,"13,000",1.78,9.52,私募配售,广发证券有限责任公司 国泰君安证券股份有限公司 ,广发证券有限责任公司 国泰君安证券股份有限公司 , 
200992,山东省中鲁远洋渔业股份有限公司,Shandong Zhonglu Oceanic Fisheries Company Limited,山东省青岛市苗岭路29号,中鲁股份,卢连兴,李明,"26,607.1320",渔业,266061,0532-55715968、55717968,0532-55719258, ,2000-07-24,2000-07-03,"12,000",2.05,6.4,私募配售,南方证券有限公司 ,南方证券有限公司 , 
002001,浙江新和成股份有限公司,"Zhejiang NHU Co., Ltd.",浙江省新昌县羽林街道江北路4号,新和成,胡柏藩,石观群,"126,391.9000",医药制造业,312500,0575-86017157,0575-86125377,www.cnhu.com,2004-06-25,2004-06-02,"3,000",13.41,16.35,二级市场配售,华西证券有限责任公司 ,第一创业证券有限责任公司 ,第一创业证券有限责任公司 
002002,鸿达兴业股份有限公司,"Hongda Xingye Co., Ltd.",江苏省扬州市广陵区杭集镇曙光路,鸿达兴业,周奕丰,林少韩,"258,454.9733",化学原料和化学制品制造业,510000,020-81802222、81802222、0514-87270833,020-81652222、0514-87270939,www.002002.cn,2004-06-25,2004-06-03,"3,000",7.32,20,二级市场配售,闽发证券有限责任公司 ,闽发证券有限责任公司 ,闽发证券有限责任公司 
002003,浙江伟星实业发展股份有限公司,"Zhejiang Weixing Industrial Development Co., Ltd.",浙江省临海市花园工业区,伟星股份,章卡鹏,谢瑾琨,"58,309.2637",纺织服装、服饰业,317025,0576-85125002,0576-85126598,www.weixing.cn,2004-06-25,2004-06-04,"2,100",7.37,19.92,二级市场配售,宏源证券股份有限公司 ,宏源证券股份有限公司 ,宏源证券股份有限公司 
002004,华邦生命健康股份有限公司,"Huapont Life Science Co., Ltd.",重庆市渝北区人和星光大道69号,华邦健康,张松山,彭云辉,"203,482.7685",化学原料和化学制品制造业,401121,023-67886900,023-67886986,www.huapont.com.cn,2004-06-25,2004-06-07,"2,200",9.6,16,二级市场配售,中信万通证券有限责任公司 ,中信万通证券有限责任公司 ,中信万通证券有限责任公司 
002005,广东德豪润达电气股份有限公司,"Elec-tech International Co., Ltd.",广东省珠海市香洲区唐家湾镇金凤路1号,德豪润达,王冬雷,邓飞,"176,472.0000",电气机械和器材制造业,519085,0756-3390188,0756-3390238,www.electech.com.cn,2004-06-25,2004-06-08,"2,600",18.2,20,二级市场配售,华夏证券股份有限公司 ,华夏证券股份有限公司 ,华夏证券股份有限公司 
002006,浙江精功科技股份有限公司,"Zhejiang Jinggong Science and Technology Co., Ltd.",浙江省绍兴市柯桥区鉴湖路1809号,精功科技,金越顺,黄伟明,"45,516.0000",专用设备制造业,312030,0575-84138692,0575-84886600,www.jgtec.com.cn,2004-06-25,2004-06-09,"3,000",7.72,17.16,二级市场配售,申银万国证券股份有限公司 ,申银万国证券股份有限公司 ,申银万国证券股份有限公司 
002007,华兰生物工程股份有限公司,"Hualan Biological Engineering, Inc.",河南省新乡市华兰大道甲1号,华兰生物,安康,谢军民,"93,008.7680",医药制造业,453003,0373-3559989,0373-3559991,www.hualanbio.com,2004-06-25,2004-06-10,"2,200",15.74,19.95,二级市场配售,平安证券有限责任公司 ,平安证券有限责任公司 ,平安证券有限责任公司 
002008,大族激光科技产业集团股份有限公司,"Han's Laser Technology Industry Group Co., Ltd.",广东省深圳市南山区深南大道9988号,大族激光,高云峰,杜永刚,"106,706.5245",专用设备制造业,518052,0755-86161340,0755-86161327,www.hanslaser.com,2004-06-25,2004-06-11,"2,700",9.2,20,二级市场配售,联合证券有限责任公司 ,联合证券有限责任公司 ,联合证券有限责任公司 
002009,天奇自动化工程股份有限公司,"Miracle Automation Engineering Co., Ltd.",江苏省无锡市惠山区洛社镇洛藕路288号,天奇股份,白开军,费新毅,"37,054.9434",通用设备制造业,214081,0510-82720289,0510-82720289,www.chinaconveyor.com,2004-06-29,2004-06-14,"2,500",6.89,10.44,二级市场配售,长城证券有限责任公司 ,长城证券有限责任公司 ,长城证券有限责任公司 
002010,传化智联股份有限公司,"Transfar Zhilian Co., Ltd.",浙江省杭州市萧山经济技术开发区,传化智联,徐冠巨,朱江英,"325,781.4678",化学原料和化学制品制造业,311215,0571-82872991,"0571-83782070, 82871858",www.transfarchem.com,2004-06-29,2004-06-15,"2,000",9.91,15.11,二级市场配售,东方证券有限责任公司 ,东方证券有限责任公司 ,东方证券有限责任公司 
002011,浙江盾安人工环境股份有限公司,"Zhejiang Dun'an Artificial Environment Co., Ltd.",中国浙江省诸暨市店口工业区,盾安环境,冯忠波,何晓梅,"91,721.2180",通用设备制造业,310051,0571-87113776,0571-87113775,www.dunan.net,2004-07-05,2004-06-16,"2,800",11.42,19.03,二级市场配售,国元证券股份有限公司 ,国元证券股份有限公司 ,国元证券股份有限公司 
002012,浙江凯恩特种材料股份有限公司,"Zhejiang Kan Specialities Material Co., Ltd.",浙江省遂昌县妙高镇凯恩路1008号,凯恩股份,杜简丞,周茜莉,"46,762.5470",造纸和纸制品业,323300,0578-8128682,0578-8123717,www.zjkan.com,2004-07-05,2004-06-17,"3,000",7.03,14.65,二级市场配售,国信证券股份有限公司 , ,国信证券股份有限公司 
002013,中航工业机电系统股份有限公司,"AVIC Electromechanical Systems Co., Ltd.",湖北省襄阳市高新区追日路8号,中航机电,王坚,李兵,"240,575.5557",铁路、船舶、航空航天和其他运输设备制造业,100028,010-58354906,010-58354848,www.avicem.com,2004-07-05,2004-06-18,"2,000",6.12,14.93,二级市场配售,长江巴黎百富勤证券公司 ,长江巴黎百富勤证券公司 ,长江巴黎百富勤证券公司 
002014,黄山永新股份有限公司,"Huangshan Novel Co., Ltd.",安徽省黄山市徽州区徽州东路188号,永新股份,孙毅,方洲,"33,574.4483",橡胶和塑料制品业,245900,0559-3517878,0559-3516357,www.novel.com.cn,2004-07-08,2004-06-21,"2,340",8.63,14.12,二级市场配售,东方证券有限责任公司 , ,东方证券有限责任公司 
002015,江苏霞客环保色纺股份有限公司,"Xiake Color Spinning Co., Ltd.",江苏省江阴市徐霞客镇马镇东街7号,霞客环保,汪瑞敏,陈银凤,"40,070.3825",纺织业,214406,0510-86520126,0510-86520112,"www.xiakehb.com,www.seeker-cn.com",2004-07-08,2004-06-22,"2,000",6.62,10.18,二级市场配售,国联证券有限责任公司 ,国联证券有限责任公司 ,国联证券有限责任公司 
002016,广东世荣兆业股份有限公司,"Guangdong Shirongzhaoye Co., Ltd.",广东省珠海市斗门区井岸镇珠峰大道288号1区17号楼,世荣兆业,梁家荣,余劲,"80,909.5632",房地产业,519180,0756-5888899,0756-5888882,www.gdsrzy.com,2004-07-08,2004-06-23,"2,500",7.5,17.44,二级市场配售,华欧国际证券有限公司 ,华欧国际证券有限公司 ,华欧国际证券有限公司 
002017,东信和平科技股份有限公司,"Eastcompeace Techonlogy Co., Ltd.",广东省珠海市高新区南屏科技工业园屏工中路8号,东信和平,张晓川,陈宗潮,"34,641.6336",计算机、通信和其他电子设备制造业,519060,0756-8682893,0756-8682166,www.eastcompeace.com,2004-07-13,2004-06-24,"2,500",10.43,18.42,二级市场配售,国信证券股份有限公司 ,国信证券股份有限公司 ,国信证券股份有限公司 
002018,安徽华信国际控股股份有限公司,"CEFC Anhui International Holding Co., Ltd.",安徽省马鞍山市和县乌江镇,华信国际,李勇,孙为民,"227,782.7422",批发业,200030,021-23577799,021-23577800,www.huaxingchem.com,2004-07-13,2004-06-25,"2,000",8.55,18.19,二级市场配售,平安证券有限责任公司 ,平安证券有限责任公司 ,平安证券有限责任公司 
002019,亿帆医药股份有限公司,"Yifan Pharmaceutical Co., Ltd.",浙江省杭州市临安经济开发区,亿帆医药,程先锋,冯德崎,"120,697.4577",医药制造业,231200,0571-63759205,0571-63759225,www.xinfupharm.com,2004-07-13,2004-06-28,"1,500",12.57,18.216,二级市场配售,西北证券有限责任公司 ,申银万国证券股份有限公司 ,申银万国证券股份有限公司 
002020,浙江京新药业股份有限公司,"Zhejiang Jingxin Pharmaceutical Co., Ltd.",浙江省新昌县羽林街道新昌大道东路800号,京新药业,吕钢,金志平,"73,612.4472",医药制造业,312500,0575-86176531,0575-86096898,www.jingxinpharm.com,2004-07-15,2004-06-29,"1,760",10.05,19.82,二级市场配售,大通证券股份有限公司 ,国信证券股份有限公司 ,国信证券股份有限公司 
002021,中捷资源投资股份有限公司,"Zoje Resources Investment Co., Ltd.",浙江省玉环县大麦屿街道兴港东路198号,中捷资源,周海涛,郑学国,"68,781.5040",专用设备制造业,317604,0576-87378885,0576-87335536,www.zoje.com,2004-07-15,2004-06-30,"2,600",9.93,19.86,二级市场配售,光大证券有限责任公司 ,光大证券有限责任公司 ,光大证券有限责任公司 浙商证券股份有限公司 
002022,上海科华生物工程股份有限公司,"Shanghai Kehua Bioengineering Co., Ltd.",上海市钦州北路1189号,科华生物,胡勇敏,王锡林,"51,256.9193",医药制造业,200233,021-64850088,021-64851044,www.skhb.com,2004-07-21,2004-07-05,"1,800",11.12,15.8,二级市场配售,申银万国证券股份有限公司 ,申银万国证券股份有限公司 ,申银万国证券股份有限公司 
002023,四川海特高新技术股份有限公司,"Sichuan Haite High-tech Co., Ltd.",四川省成都市高新区高朋大道21号,海特高新,李飚,居平,"75,679.1003",铁路、船舶、航空航天和其他运输设备制造业,610041,028-85921029,028-85921038,www.schtgx.com,2004-07-21,2004-07-06,"2,400",11.88,19.48,二级市场配售,兴业证券股份有限公司 ,兴业证券股份有限公司 ,兴业证券股份有限公司 
002024,苏宁云商集团股份有限公司,"Suning Commerce Group Co., Ltd.",江苏省南京市山西路8号金山大厦1-5层,苏宁云商,张近东,黄巍,"931,003.9655",零售业,210042,025-84418888-888122/888480,025-84418888-2-888480,www.suning.cn,2004-07-21,2004-07-07,"2,500",16.33,11.26,二级市场配售,天同证券有限责任公司 ,天同证券有限责任公司 ,天同证券有限责任公司 
002025,贵州航天电器股份有限公司,"Guizhou Space Appliance Co., Ltd.",贵州省贵阳经济技术开发区红河路7号,航天电器,张兆勇,张旺,"42,900.0000",计算机、通信和其他电子设备制造业,550009,0851-88697168,0851-88697000,www.gzhtdq.com.cn,2004-07-26,2004-07-09,"2,570",7,15.32,二级市场配售,申银万国证券股份有限公司 ,申银万国证券股份有限公司 ,申银万国证券股份有限公司 
002026,山东威达机械股份有限公司,"Shandong Weida Machinery Co., Ltd.",山东省威海临港经济技术开发区苘山镇中韩路2号,山东威达,杨明燕,宋战友,"42,009.8419",金属制品业,264414,0631-8549156,0631-8545018、8545388,www.weidapeacock.com,2004-07-27,2004-07-12,"3,000",8.68,18.19,二级市场配售,兴业证券股份有限公司 ,兴业证券股份有限公司 ,兴业证券股份有限公司 
002027,分众传媒信息技术股份有限公司,"Focus Media Information Technology Co., Ltd.",广东省广州市黄埔区中新知识城凤凰三路8号2号楼2130室,分众传媒,刘杰良,孔微微,"1,223,156.6900",商务服务业,200050,021-22165288,021-22165288,www.focusmedia.cn,2004-08-04,2004-07-20,"2,900",10.56,15.55,二级市场配售,广发证券股份有限公司 ,广发证券股份有限公司 ,广发证券股份有限公司 
002028,思源电气股份有限公司,"Siyuan Electric Co., Ltd.",上海市闵行区金都路4399号,思源电气,董增平,林凌,"76,020.9282",电气机械和器材制造业,201108,021-61610958,021-61610959,www.sieyuan.com,2004-08-05,2004-07-21,"1,340",16.45,19.31,二级市场配售,巨田证券有限责任公司 ,巨田证券有限责任公司 ,巨田证券有限责任公司 
002029,福建七匹狼实业股份有限公司,"Fujian Septwolves Industry Co., Ltd.",福建省晋江市金井镇南工业区,七匹狼,周少雄,陈平,"75,567.0000",纺织服装、服饰业,362251,0595-85337739,0595-85337766,www.septwolves.com,2004-08-06,2004-07-22,"2,500",7.45,17.91,二级市场配售,长江巴黎百富勤证券公司 ,长江巴黎百富勤证券公司 ,长江巴黎百富勤证券公司 
002030,中山大学达安基因股份有限公司,"Da An Gene Co., Ltd. of Sun Yat-sen University",广东省广州市高新技术开发区科学城香山路19号,达安基因,何蕴韶,张斌,"72,492.0472",医药制造业,510665,020-32290420,020-32290231,www.daangene.com,2004-08-09,2004-07-23,"2,200",7.3,19.73,二级市场配售,广东证券股份有限公司 , ,安信证券股份有限公司 
002031,巨轮智能装备股份有限公司,Greatoo Intelligent Equipment Inc.,广东省揭东经济开发区5号路中段,巨轮智能,吴潮忠,吴豪,"219,939.5670",专用设备制造业,515500,0663-3271838,0663-3269266,www.greatoo.com,2004-08-16,2004-08-02,"3,800",7.34,18.82,二级市场配售,国信证券股份有限公司 ,国信证券股份有限公司 ,国信证券股份有限公司 
002032,浙江苏泊尔股份有限公司,"Zhejiang Supor Co., Ltd.",浙江省玉环县大麦屿经济开发区,苏泊尔,Frédéric VERWAERDE,叶继德,"82,128.7610",金属制品业,310051,0571-86858778,0571-86858678,www.supor.com.cn,2004-08-17,2004-08-03,"3,400",12.21,16.19,二级市场配售,兴业证券股份有限公司 ,兴业证券股份有限公司 ,兴业证券股份有限公司 
002033,丽江玉龙旅游股份有限公司,"Lijiang Yulong Tourism Co., Ltd.",云南省丽江市古城区香格里大道760号丽江玉龙旅游大厦,丽江旅游,和献中,杨宁,"54,949.0711",公共设施管理业,674100,0888-5306327,0888-5306333,www.yulongtour.com,2004-08-25,2004-08-10,"2,500",6.9,19.17,二级市场配售,华夏证券股份有限公司 ,华夏证券股份有限公司 ,华夏证券股份有限公司 
002034,旺能环境股份有限公司,"Wangneng Environment Co., Ltd.",浙江省湖州市天字圩路288号,旺能环境,管会斌,王学庚,"24,503.8262",生态保护和环境治理业,313000,0571-85398909,0572-2619937,www.mizuda.net,2004-08-26,2004-08-11,"2,160",12,17.91,二级市场配售,天同证券有限责任公司 ,天同证券有限责任公司 ,天同证券有限责任公司 
002035,华帝股份有限公司,Vatti Corporation Limited,广东省中山市小榄镇工业大道南华园路1号,华帝股份,潘叶江,吴刚,"58,176.2083",电气机械和器材制造业,528416,0760-22839177,0760-22839256,www.vatti.com.cn,2004-09-01,2004-08-17,"2,500",8,12.31,二级市场配售,华欧国际证券有限公司 ,华欧国际证券有限公司 ,华欧国际证券有限公司 
002036,联创电子科技股份有限公司,"LianChuang Electronic Technology Co., Ltd.",江西省南昌市高新开发区京东大道1699号,联创电子,韩盛龙,黄倬桢,"55,802.9837",计算机、通信和其他电子设备制造业,330096,0791-88161608,0791-88161608,www.lcetron.com,2004-09-03,2004-08-19,"3,000",6.42,20,二级市场配售,国盛证券有限责任公司 ,国盛证券有限责任公司 ,国盛证券有限责任公司 
002037,贵州久联民爆器材发展股份有限公司,"Guizhou Jiulian Industrial Explosive Materials Development Co., Ltd.",贵州省贵阳市高新技术开发区新天园区,久联发展,安胜杰,王丽春,"32,736.8160",化学原料和化学制品制造业,550002,0851-86790686、86751504,0851-86790686、86748121,www.gzjiulian.com/,2004-09-08,2004-08-24,"4,000",6.66,15.26,二级市场配售,汉唐证券有限责任公司 ,汉唐证券有限责任公司 ,汉唐证券有限责任公司 
002038,北京双鹭药业股份有限公司,"Beijing SL Pharmaceutical Co., Ltd.",北京市海淀区西三环北路100号金玉大厦1103-1105室,双鹭药业,徐明波,梁淑洁,"68,490.0000",医药制造业,100049,010-88627635,010-88795883,www.slpharm.com.cn,2004-09-09,2004-08-25,"1,900",12,19.23,二级市场配售,华林证券有限责任公司 ,华林证券有限责任公司 ,华林证券有限责任公司 
002039,贵州黔源电力股份有限公司,"Guizhou Qianyuan Power Co., Ltd.",贵州省贵阳市都司高架桥路46号黔源大厦,黔源电力,刘靖,罗涛(代),"30,539.8662",电力、热力生产和供应业,550002,0851-85218810,0851-85218925,www.gzqydl.cn,2005-03-03,2005-02-18,"5,000",5.97,19.01,"网下配售,二级市场配售",中信证券股份有限公司 , ,中信证券股份有限公司 
002040,南京港股份有限公司,"Nanjing Port Co., Ltd.",江苏省南京市栖霞区和燕路251号1幢1101室,南京港,熊俊,杨灯富,"37,228.2154",水上运输业,210019,025-58815738,025-58812758,www.nj-port.com,2005-03-25,2005-03-11,"3,850",7.42,19.14,"网下配售,二级市场配售",招商证券股份有限公司 ,招商证券股份有限公司 ,招商证券股份有限公司 
002041,山东登海种业股份有限公司,"Shandong Denghai Seeds Co., Ltd.",山东省莱州市农科院城山路西侧,登海种业,陶旭东,原绍刚,"88,000.0000",农业,261448,0535-2788926,0535-2788875,www.sddhzy.com,2005-04-18,2005-04-05,"2,200",16.7,17.5,"网下配售,二级市场配售",东方证券有限责任公司 , ,东方证券有限责任公司 
002042,华孚时尚股份有限公司,"Huafu Fashion Co., Ltd.",安徽省淮北市烈山区石山路6号,华孚时尚,孙伟挺,张正,"101,287.8037",纺织业,518033,0755-83735645,0755-83735566,www.e-huafu.com;www.huafuyarn.com,2005-04-27,2005-04-12,"4,000",3.8,23.75,"网下配售,二级市场配售",华泰证券有限责任公司 ,华泰证券有限责任公司 ,华泰证券有限责任公司 
002043,德华兔宝宝装饰新材股份有限公司,"Dehua TB New Decoration Material Co., Ltd.",浙江省德清县洛舍镇工业区,兔宝宝,丁鸿敏,徐俊,"86,246.0685",木材加工和木、竹、藤、棕、草制品业,313200,0572-8405322,0572-8822225,www.tubaobao.com,2005-05-10,2005-04-19,"4,200",4.98,22.64,"网下配售,二级市场配售",东北证券股份有限公司 ,东北证券股份有限公司 ,东北证券股份有限公司 
002044,美年大健康产业控股股份有限公司,"Meinian Onehealth Healthcare Holdings Co., Ltd.",江苏省南通市人民东路218号,美年健康,俞熔,熊芳君,"260,130.5797",卫生,200072,021-66773289,021-66773220,www.sanyougroup.com,2005-05-18,2005-04-25,"4,500",3.55,21.65,"网下配售,二级市场配售",国元证券股份有限公司 ,国元证券股份有限公司 ,国元证券股份有限公司 
002045,国光电器股份有限公司,Guoguang Electric Company Limited,广东省广州市花都区新雅街镜湖大道8号,国光电器,郝旭明,张金辉,"41,690.4000",计算机、通信和其他电子设备制造业,510800,020-28609688,020-28609396,www.ggec.com.cn,2005-05-23,2005-04-29,"3,000",10.8,22.5,"网下配售,二级市场配售",招商证券股份有限公司 ,招商证券股份有限公司 ,招商证券股份有限公司 
002046,洛阳轴研科技股份有限公司,"Luoyang Bearing Science and Technology Co., Ltd.",河南省洛阳市高新技术开发区丰华路6号,轴研科技,朱峰,赵祥功,"52,434.9078",通用设备制造业,450001,0371-67619230,0371-86095152,www.zys.com.cn,2005-05-26,2005-05-11,"2,500",6.39,20.61,"网下配售,二级市场配售",南京证券有限公司 ,南京证券有限公司 ,南京证券有限公司 
002047,深圳市宝鹰建设控股集团股份有限公司,"Shenzhen Bauing Construction Holding Group Co., Ltd.",广东省深圳市南山区沙河街道华侨城东部工业区F1栋107号,宝鹰股份,古少波,古少波(代),"134,129.6921",建筑装饰和其他建筑业,518040,0755-82924810,0755-88374949,www.szby.cn,2005-05-31,2005-05-16,"5,100",8.6,20.48,"网下配售,二级市场配售",广发证券股份有限公司 , ,广发证券股份有限公司 
002048,宁波华翔电子股份有限公司,"Ningbo Huaxiang Electronic Co., Ltd.",浙江省象山县西周镇象西开发区,宁波华翔,周晓峰,韩铭扬,"62,622.7314",汽车制造业,201204,021-68949998,021-68942221,www.nbhx.com.cn,2005-06-03,2005-05-19,"3,000",5.75,17.97,"网下配售,二级市场配售",天一证券有限责任公司 , ,天一证券有限责任公司 
002049,紫光国芯股份有限公司,"Unigroup Guoxin Co., Ltd.",河北省玉田县无终西街3129号,紫光国芯,赵伟国,杜林虎,"60,681.7968",计算机、通信和其他电子设备制造业,64100,0315-6198161,0315-6198179,www.gosinoic.com,2005-06-06,2005-05-20,"2,500",4.78,22.76,"网下配售,二级市场配售",联合证券有限责任公司 , ,联合证券有限责任公司 
002050,浙江三花智能控制股份有限公司,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",浙江省新昌县七星街道下礼泉,三花智控,张亚波,胡凯程,"212,031.6835",通用设备制造业,312500,0571-28020008,0571-28876605,www.zjshc.com,2005-06-07,2005-05-24,"3,000",7.39,19.97,"网下配售,二级市场配售",东北证券股份有限公司 , ,东北证券股份有限公司 
002051,中工国际工程股份有限公司,"China CAMC Engineering Co., Ltd.",北京市海淀区丹棱街3号,中工国际,罗艳,张春燕,"111,277.4016",土木工程建筑业,100080,010-82688606,010-82688582,www.camce.com.cn,2006-06-19,2006-06-05,"6,000",7.4,19.83,"上网定价发行,网下询价发行",国信证券股份有限公司 , ,国信证券股份有限公司 
